차 | 茶, 車 | tea;<div>car</div>
드리다 |  | to give, offer (hon.)
미래 | 未來 | future
내려가다 |  | to go down
쓰레기 |  | garbage, trash
남녀 | 男女 | men and women
첫날 |  | the first day
원래 | 元來·原來 | originally, by nature, always
허리 |  | waist
근처 | 近處 | nearby
낮 |  | daytime
가볍다 |  | to be light (as opposed to heavy)
갖다주다 |  | to bring over
동물 | 動物 | animal
목 |  | neck;<div>throat</div>
코 |  | nose
배고프다 |  | to be hungry
원하다 | 願 | to want, wish, hope
과거 | 過去 | the past
교통 | 交通 | traffic
새벽 |  | dawn
불다 |  | to blow
한글 |  | Korean alphabet
손가락 |  | finger
꽤 |  | substantially, fairly
마르다 |  | to be dry, become dry;<div>to become thin, lose weight</div>
그냥 |  | just;<div>without any special reason</div>
배추 |  | Chinese cabbage
버섯 |  | mushroom
소고기 |  | beef
이마 |  | forehead
축구 | 蹴球 | football (soccer)
밝다 |  | to be bright, light;<div>to be promising;</div><div>to be sharp, keen</div>
눕다 |  | to lie down
밉다 |  | to be hateful, dislikable;<div>to be ugly</div>
게 |  | crab
홍차 | 紅茶 | black tea
차갑다 |  | to be cold (regarding objects)
실력 | 實力 | skill, ability
고등학교 | 高等學校 | high school
별 |  | star
귤 | 橘 | tangerine, mandarin
소개하다 | 紹介 | to introduce, recommend
편 | 便 | side
맞은편 | -便 | opposite side
비하다 | 比 | to compare to
발음 | 發音 | pronunciation
박물관 | 博物館 | museum
어서 |  | please, kindly;<div>quickly</div>
지다 |  | to lose, be defeated;<div>to be under an obligation;</div><div>to go down, fall</div>
반찬 | 飯饌 | side dish
계산서 | 計算書 | check, bill
갖다 |  | to have, to hold
점원 | 店員 | salesperson
레슨 |  | lesson
학기 | 學期 | semester
또 |  | again, repeatedly;<div>also, too</div>
뚱뚱하다 |  | to be fat
지도 | 地圖 | map, chart
남쪽 | 南- | south
외국인 | 外國人 | foreigner
부인 | 夫人, 婦人, 否認 | wife (hon.);<div>woman, lady;</div><div>denial, disapproval</div>
지난달 |  | last month
시계 | 時計 | clock, watch
잎 |  | leaf
스포츠 |  | sports
월급 | 月給 | monthly salary
합계 | 合計 | sum, total
노랗다 |  | to be yellow
화 | 火, 禍 | anger;<div>disaster, misfortune</div>
첫째 |  | first, the foremost
아주머니 |  | <div>middle aged woman;</div><div>aunt</div>
잡지 | 雜誌 | magazine, journal
결국 | 結局 | after all, finally, in the end
못 |  | not;<div>nail</div>
거절하다 | 拒絶 | to refuse, decline, reject
구석 |  | corner
여전하다 | 如前 | to be unchanged, be as usual
다녀오다 |  | to go and get back, be back
비디오 |  | video
이쪽 |  | this side, our side
내년 | 來年 | next year
검다 |  | to be black
땅 |  | the ground;<div>land</div>
젖다 |  | to get wet, soaked, be moistened
방송하다 | 放送 | to broadcast
실시간 | 實時間 | real time, live
안녕하다 | 安寧 | to be well, be in good health
깨지다 |  | to be broken, get broken
부유하다 | 富裕 | to be rich, wealthy
계절 | 季節 | season
닿다 |  | to reach, touch
중학교 | 中學校 | middle school (junior high)
회색 | 灰色 | gray
확실하다 | 確實 | to be certain, be reliable
어차피 | 於此彼 | anyway, in any case
공유 | 共有, 公有 | sharing (of information, files etc.);<div>public ownership</div>
미인 | 美人 | beautiful woman
잃어버리다 |  | to lose something (completely)
지갑 | 紙匣 | wallet;<div>purse</div>
잔돈 |  | change (money)
표 | 票, 表 | ticket;<div>table, diagram;</div><div>mark, sign</div>
거울 |  | mirror
되돌리다 |  | to restore, put back, return
마룻바닥 |  | the floor
떠오르다 |  | to come across one's mind;<div>to rise up</div>
울리다 |  | to ring;<div>to make someone cry</div>
날다 |  | to fly
드라마 |  | TV series
취직하다 | 就職 | to get a (fulltime) job
복 | 福 | blessing, fortune
강하다 | 强 | to be strong, powerful
고요하다 |  | to be still, quiet, calm, silent, peaceful
목록 | 目錄 | list, catalogue
위험하다 | 危險 | to be dangerous, risky
북쪽 | 北- | north
호랑이 |  | tiger
없다 |  | to not exist;<div>to not have</div>
파티 |  | party (social gathering)
자막 | 字幕 | subtitles;<div>caption</div>
구름 |  | cloud
인형 | 人形 | doll, puppet
쇠고기 |  | beef
카드 |  | card
도와주다 |  | to help out, assist
칼 |  | knife;<div>sword</div>
가늘다 |  | to be thin, slender
경찰관 | 警察官 | police officer
오랜만에 |  | after a long time
아줌마 |  | middle aged woman
군대 | 軍隊 | army, troops
깎다 |  | to peel, trim, cut;<div>to discount (cut the price)</div>
호텔 |  | hotel
운동장 | 運動場 | field, (school) stadium;<div>playground</div>
한복 | 韓服 | Korean dress (traditional)
대신하다 | 代身 | to take the place of, act as a substitute
대하다 | 對 | to face, confront;<div>to treat</div>
어리다 |  | to be young, little
때 |  | time; when;<div>occasion;</div><div>dirt</div>
아이디어 |  | idea
닮다 |  | to resemble, be alike
햇살 |  | sunlight, sunshine
모습 |  | figure, shape, features
선명하다 | 鮮明 | to be clear, distinct, sharp
환하다 |  | to be bright;<div>to be familiar (with)</div>
비추다 |  | to light up, shed light;<div>to reflect, mirror</div>
죽이다 |  | to kill, murder;<div>to hold back, suppress</div>
책임 | 責任 | responsibility;<div>blame</div>
한자 | 漢字 | Chinese character
별장 | 別莊 | vacation home, cottage
상관없다 | 相關- | to not matter, not care;<div>to have nothing to do with</div>
심장 | 心臟 | the heart (in the body)
비둘기 |  | pigeon
모기 |  | mosquito
모래 |  | sand
노약자 | 老弱者 | old and/or weak people
안경 | 眼鏡 | glasses, eyeglasses
전철 | 電鐵 | subway (train)
좌석 | 座席 | seat
따로 |  | separately;<div>in addition</div>
이 |  | tooth;<div>this</div>
비누 |  | soap
왠지 |  | somehow, for some reason
신다 |  | to put on, wear (footwear)
지우다 |  | to erase, cross out;<div>to wash off</div>
닭 |  | chicken
교과서 | 敎科書 | textbook
샌드위치 |  | sandwich
자연스럽다 | 自然- | to be natural
일부러 |  | intentionally, on purpose
카페 |  | café
서쪽 | 西- | the west
악몽 | 惡夢 | bad dream, nightmare
심각하다 | 深刻 | to be serious, grave, severe
불고기 |  | marinated beef
목욕 | 沐浴 | bath
상태 | 狀態 | condition, state
경험하다 | 經驗 | to experience
걸어오다 |  | to come by foot
여권 | 旅券 | passport
피아노 |  | piano
청취자 | 聽取者 | listener (of a radio or similar)
출퇴근하다 | 出退勤 | to commute
메뉴 |  | menu
자장면 |  | Chinese dish of noodles in black soybean paste
휴일 | 休日 | public holiday
달력 | -曆 | calendar
추워지다 |  | to become cold
기온 | 氣溫 | temperature
집 |  | house, home, family
실패하다 | 失敗 | to fail, go wrong
땀 |  | sweat, perspiration
데리고가다 |  | to bring someone to some place
펴다 |  | to open, unfold, spread
크게 |  | greatly, highly
소풍 | 消風 | picnic
농구 | 籠球 | basketball
양말 | 洋襪 | socks
경치 | 景致 | scene, scenery
넘다 |  | to exceed;<div>to climb (over)</div>
올라오다 |  | to come up
자라다 |  | to grow up, be raised
콜라 |  | coke
대사관 | 大使館 | embassy
정류장 | 停留場 | stop, station (bus etc.)
정확하다 | 正確 | to be exact, correct, accurate
알아보다 |  | to find out, check out, investigate;<div>to recognize</div>
이어지다 |  | to be connected, be continued
포함하다 | 包含 | to include, contain
헤어지다 |  | to break up, part, separate
좀처럼 |  | [not] easily, [not] readily
자존심 | 自尊心 | self-respect, pride
기사 | 記事, 技士 | news article;<div>driver, chauffeur;</div><div>engineer</div>
기억나다 |  | to remember, recollect
고통 | 苦痛 | pain, suffering
취소하다 | 取消 | to cancel, withdraw
창조하다 | 創造 | to create
결혼식 | 結婚式 | wedding ceremony
사촌 | 四寸 | cousin
분류하다 | 分類 | to classify, categorize
이미지 |  | image
상품 | 商品, 賞品 | product, goods;<div>prize</div>
가격 | 價格 | price
출판하다 | 出版 | to publish
장바구니 | 場- | shopping basket
특히 | 特- | especially, particularly
야간 | 夜間 | night, night time
자유 | 自由 | freedom, liberty
휴지 | 休紙, 休止 | toilet paper, tissue;<div>pause</div>
태권도 | 跆拳道 | Taekwondo
슈퍼마켓 |  | supermarket
계란 | 鷄卵 | egg
젊다 |  | to be young, youthful
학습 | 學習 | studying, learning
상황 | 狀況 | situation, state of things
각자 | 各自 | each one, each
실례 | 失禮 | bad manners, rudeness
숟가락 |  | spoon
치약 | 齒藥 | toothpaste
배부르다 |  | to have a full stomach
운동화 | 運動靴 | sports shoes
칠판 | 漆板 | blackboard
주로 | 主- | mostly, mainly
최근 | 最近 | lately, most recently
되게 |  | very, really, extremely
공포 | 恐怖, 公布 | fear, terror;<div>announcement, proclamation</div>
무서워하다 |  | to fear, be afraid
새롭다 |  | to be new, fresh
급행열차 | 急行列車 | express train
반대 | 反對 | reverse, opposite
미술 | 美術 | art
환영하다 | 歡迎 | to welcome (somebody)
뜻하다 |  | to mean, signify;<div>to intend, plan, aim</div>
탈의실 | 脫衣室 | dressing room
전기 | 電氣, 傳記 | electricity;<div>biography</div>
우연 | 偶然 | coincidence, chance
귀걸이 |  | earring
목걸이 |  | necklace
교환학생 | 交換學生 | exchange student
전공하다 | 專攻 | to major in, specialize in
아시아 |  | Asia
성장 | 成長 | growth
장미 | 薔薇 | rose
사탕 | 砂糖 | candy
사실 | 事實 | fact, truth
정거장 | 停車場 | station, stop
정차하다 | 停車 | to stop, make a stop (about vehicles)
신비하다 | 神秘 | to be mysterious
오해하다 | 誤解 | to misunderstand
사귀다 |  | to date, go out;<div>to make friends with, keep company with</div>
경고하다 | 警告 | to warn
환대 | 歡待 | hospitality, [warm] welcome
저번 | -番 | last time, the other day
얼른 |  | promptly, right away, quickly
짧게 |  | briefly
시스템 |  | system
귀중하다 | 貴重 | to be precious, valuable
생명 | 生命 | life
세상 | 世上 | the world, society
헷갈리다 |  | to be confused, confusing;<div>to be hard to find</div>
사업 | 事業 | enterprise, business
성함 | 姓銜 | name (hon.)
매력 | 魅力 | charm, attractiveness
인상 | 印象, 人相, 引上 | impression;<div>features, appearance;</div><div>increase</div>
친하다 | 親 | to be close, friendly, intimate with
공중 | 公衆, 空中 | public;<div>the air, space</div>
빼다 |  | to pull out, extract;<div>to subtract;</div><div>to remove</div>
피해 | 被害 | damage, harm
수건 | 手巾 | towel
위하다 | 爲 | to do for the sake of, on behalf of
자녀 | 子女 | children
십대 | 十代 | teenage, teenager
반드시 |  | surely, certainly
예약하다 | 豫約 | to book, make a reservation
숫자 | 數字 | numbers
끄다 |  | to put out, turn off
자기 | 自己 | self, oneself
떡 |  | Korean rice cake
가난하다 |  | to be poor
바라보다 |  | to look at, watch, gaze
마디 |  | knuckle;<div>word</div>
경우 | 境遇 | case, circumstances, scenario
그만하다 |  | to stop (doing something)
검사하다 | 檢査 | to check, examine, inspect
신형 | 新型 | new model, new style
나서다 |  | to interfere, come out
가능하다 | 可能 | to be possible
근무 | 勤務 | service, work, duty
서운하다 |  | to be sad, hurt;<div>to be regrettable</div>
왜냐하면 |  | because, since
경기 | 競技, 景氣 | game (football etc.);<div>economy, business</div>
선배 | 先輩 | senior (usually at the same education- or workplace)
비키다 |  | to step aside
멀미 |  | nausea, motion sickness
학위 | 學位 | academic degree
관람하다 | 觀覽 | to watch, view
동갑 | 同甲 | the same age
바보 |  | fool, stupid person
확인하다 | 確認 | to confirm, verify, check
어울리다 |  | to match, fit, suit well, look good;<div>to associate (with), get along (with)</div>
과장하다 | 誇張 | to exaggerate
나타나다 |  | to appear, turn up;<div>to be revealed</div>
기침 |  | cough
전편 | 全篇, 前篇 | the whole book (movie, series etc.);<div>the original book (movie)</div>
추천하다 | 推薦 | to recommend
식구 | 食口 | family, member of family
차이 | 差異 | difference
넘어가다 |  | to cross, go over;<div>to fall into, go down</div>
느끼다 |  | to feel, experience
임금 | 賃金 | wages, pay;<div>king, monarch</div>
이기다 |  | to win
언제 |  | when
야채 | 野菜 | vegetable
관계 | 關係 | relationship, connection
여성 | 女性 | women
국가 | 國家 | state, nation
배낭 | 背囊 | backpack
메다 |  | to carry on one's shoulder;<div>to choke (up)</div>
가지 |  | kind (of), sort (of);<div>branch, twig;</div><div>eggplant</div>
시대 | 時代 | period, era
주변 | 周邊 | surroundings
깃발 | 旗- | flag
자꾸 |  | constantly, repeatedly
점 | 點, 占 | dot, point;<div>viewpoint;</div><div>fortune-telling</div>
쌓다 |  | to pile up;<div>to accumulate</div>
너머 |  | beyond, the other side
전쟁 | 戰爭 | war
이웃 |  | neighbor
밀다 |  | to push, shove
인간 | 人間 | human being, mankind
너 |  | you (<i>informal</i>)
통하다 | 通 | to go through, flow;<div>to be circulated;</div><div>to be understood</div>
화장 | 化粧, 火葬 | make-up;<div>cremation</div>
따르다 |  | to follow, go after;<div>to pour, fill</div>
멀리 |  | far, far away
귀찮다 |  | to be troublesome, bothersome, annoying
둘러보다 |  | to look around
존경하다 | 尊敬 | to respect, look up to
자신 | 自身, 自信 | oneself;<div>self-confidence</div>
막 | 幕 | just, just now;<div>severely, carelessly;</div><div>curtain</div>
놓치다 |  | to miss, let slip, fail to catch
편안하다 | 便安 | to be comfortable, relaxed, peaceful
아무래도 |  | anyway, by the look of (it);<div>by any means</div>
티켓 |  | ticket
기계 | 機械 | machine
자동판매기 | 自動販賣機 | vending machine
언어 | 言語 | language
선택하다 | 選擇 | to choose, select
당분간 | 當分間 | for the time being, for a while
갔다오다 |  | to go and come back
코멘트 |  | comment
알리다 |  | to inform, let know, notify
비교하다 | 比較 | to compare with
뇌물 | 賂物 | bribe
상상하다 | 想像 | to imagine
더럽다 |  | to be dirty
버릇 |  | habit;<div>manners</div>
행동 | 行動 | behavior, action
결과 | 結果 | result
남색 | 藍色 | indigo, deep blue
빛나다 |  | to shine, gleam, be bright
의미 | 意味 | meaning, sense
밝히다 |  | to brighten (up), lighten;<div>to clarify, disclose</div>
외롭다 |  | to be lonely
다양하다 | 多樣 | to be various, diverse
그림자 |  | shadow
바라다 |  | to desire, wish, hope
신사 | 紳士 | gentleman
참가하다 | 參加 | to participate, join
해외 | 海外 | foreign country, overseas
사생활 | 私生活 | privacy, private life
마찬가지 |  | the same, identical, equal
